Nb,Input,Output
964500,386818,133349
964400,387948,133756
964300,389084,134123
964200,390193,134506
964100,391238,134877
964000,392384,135276
963900,393442,135645
963800,394494,136020
963700,395539,136399
963600,396559,136758
963500,397675,137147
963400,398764,137514
963300,399883,137895
963200,400886,138240
963100,401950,138623
963000,403086,139027
962900,404161,139390
962800,405258,139763
962700,406377,140135
962600,407463,140517
962500,408560,140899
962400,409703,141287
962300,410768,141654
962200,411866,142054
962100,412957,142432
962000,414076,142825
961900,415226,143217
961800,416293,143581
961700,417378,143964
961600,418483,144355
961500,419607,144738
961400,420688,145100
961300,421815,145489
961200,422909,145869
961100,423969,146254
961000,425090,146644
960900,426186,147013
960800,427261,147385
960700,428284,147751
960600,429337,148148
960500,430428,148548
960400,431503,148929
960300,432576,149310
960200,433631,149688
960100,434722,150079
960000,435797,150446
959900,436866,150839
959800,437947,151238
959700,439040,151612
959600,440152,152000
959500,441260,152381
959400,442366,152764
959300,443450,153132
959200,444533,153502
959100,445669,153916
959000,446737,154277
958900,447849,154679
958800,448922,155045
958700,450041,155437
958600,451220,155835
958500,452334,156187
958400,453423,156566
958300,454529,156931
958200,455622,157319
958100,456667,157701
958000,457770,158102
957900,458859,158479
957800,459944,158867
957700,461019,159221
957600,462112,159621
957500,463206,160004
957400,464287,160398
957300,465366,160769
957200,466464,161159
957100,467546,161529
957000,468631,161903
956900,469722,162275
956800,470776,162635
956700,471864,163025
956600,472941,163408
956500,474090,163816
956400,475197,164192
956300,476270,164560
956200,477360,164945
956100,478413,165312
956000,479508,165701
955900,480586,166057
955800,481656,166424
955700,482716,166794
955600,483726,167149
955500,484825,167550
955400,485897,167945
955300,486948,168310
955200,488004,168710
955100,489149,169113
955000,490207,169477
954900,491289,169860
954800,492415,170248
954700,493480,170607
954600,494594,171015
954500,495687,171388
954400,496755,171761
954300,497856,172139
954200,498943,172509
954100,500071,172895
954000,501076,173251
953900,502199,173667
953800,503302,174061
953700,504363,174426
953600,505448,174820
953500,506492,175181
953400,507585,175571
953300,508661,175941
953200,509825,176347
953100,510934,176730
953000,512042,177104
952900,513185,177493
952800,514292,177849
952700,515384,178233
952600,516490,178619
952500,517501,178965
952400,518596,179358
952300,519682,179741
952200,520743,180122
952100,521826,180491
952000,522907,180871
951900,523922,181244
951800,525054,181650
951700,526072,182005
951600,527171,182398
951500,528249,182775
951400,529307,183156
951300,530411,183541
951200,531480,183907
951100,532576,184292
951000,533629,184666
950900,534719,185063
950800,535779,185429
950700,536889,185819
950600,537965,186184
950500,539101,186584
950400,540186,186960
950300,541257,187327
950200,542395,187729
950100,543474,188101
950000,544536,188459
949900,545565,188818
949800,546647,189195
949700,547761,189584
949600,548845,189970
949500,549940,190345
949400,550999,190708
949300,552032,191065
949200,553118,191453
949100,554213,191837
949000,555322,192245
948900,556407,192621
948800,557552,193000
948700,558669,193376
948600,559802,193767
948500,560938,194149
948400,562060,194535
948300,563124,194897
948200,564234,195298
948100,565304,195662
948000,566378,196054
947900,567476,196416
947800,568562,196800
947700,569627,197183
947600,570689,197574
947500,571771,197954
947400,572877,198345
947300,574001,198728
947200,575043,199099
947100,576127,199475
947000,577235,199876
946900,578300,200254
946800,579392,200640
946700,580480,201007
946600,581586,201389
946500,582665,201774
946400,583764,202159
946300,584814,202540
946200,585844,202922
946100,586919,203309
946000,587995,203693
945900,589122,204086
945800,590256,204473
945700,591376,204856
945600,592502,205233
945500,593597,205593
945400,594663,205968
945300,595776,206368
945200,596832,206741
945100,597853,207106
945000,598898,207487
944900,599982,207880
944800,601042,208255
944700,602233,208677
944600,603272,209023
944500,604311,209410
944400,605379,209813
944300,606469,210190
944200,607586,210565
944100,608649,210948
944000,609800,211358
943900,610824,211714
943800,611908,212116
943700,612973,212497
943600,614012,212877
943500,615076,213257
943400,616149,213647
943300,617287,214032
943200,618314,214392
943100,619386,214771
943000,620458,215169
942900,621517,215548
942800,622600,215944
942700,623731,216343
942600,624771,216698
942500,625827,217077
942400,626885,217477
942300,627992,217865
942200,629103,218251
942100,630135,218621
942000,631257,219017
941900,632311,219366
941800,633398,219753
941700,634487,220137
941600,635596,220528
941500,636667,220909
941400,637773,221294
941300,638888,221690
941200,639990,222079
941100,641066,222450
941000,642177,222845
940900,643275,223235
940800,644401,223628
940700,645468,223986
940600,646533,224364
940500,647624,224755
940400,648672,225124
940300,649746,225512
940200,650768,225898
940100,651815,226272
940000,652904,226662
939900,654022,227055
939800,655114,227430
939700,656175,227814
939600,657273,228213
939500,658379,228589
939400,659464,228960
939300,660536,229334
939200,661615,229708
939100,662718,230096
939000,663809,230451
938900,664921,230860
938800,665960,231223
938700,667066,231626
938600,668130,231997
938500,669221,232379
938400,670298,232761
938300,671324,233120
938200,672405,233505
938100,673467,233874
938000,674573,234282
937900,675667,234675
937800,676781,235057
937700,677877,235434
937600,678974,235811
937500,680056,236198
937400,681100,236576
937300,682165,236975
937200,683217,237351
937100,684307,237760
937000,685377,238130
936900,686443,238500
936800,687500,238868
936700,688603,239269
936600,689679,239663
936500,690768,240052
936400,691815,240421
936300,692857,240811
936200,693938,241200
936100,695016,241583
936000,696096,241985
935900,697193,242354
935800,698299,242749
935700,699348,243136
935600,700486,243531
935500,701558,243901
935400,702697,244303
935300,703761,244670
935200,704901,245071
935100,705964,245440
935000,707054,245836
934900,708182,246220
934800,709269,246589
934700,710364,246973
934600,711468,247351
934500,712574,247732
934400,713711,248135
934300,714828,248508
934200,715910,248881
934100,717030,249269
934000,718101,249654
933900,719235,250050
933800,720372,250441
933700,721490,250821
933600,722546,251189
933500,723618,251587
933400,724690,251979
933300,725816,252383
933200,726891,252737
933100,727999,253130
933000,729065,253497
932900,730182,253884
932800,731254,254246
932700,732387,254647
932600,733452,255036
932500,734568,255441
932400,735648,255807
932300,736733,256175
932200,737793,256559
932100,738904,256960
932000,739958,257331
931900,741086,257726
931800,742164,258120
931700,743267,258495
931600,744369,258882
931500,745450,259254
931400,746550,259647
931300,747660,260011
931200,748775,260397
931100,749879,260771
931000,751021,261167
930900,752117,261542
930800,753223,261941
930700,754310,262309
930600,755417,262699
930500,756522,263105
930400,757600,263497
930300,758702,263895
930200,759823,264268
930100,760960,264668
930000,762060,265035
929900,763132,265414
929800,764237,265796
929700,765294,266174
929600,766391,266555
929500,767486,266949
929400,768615,267343
929300,769727,267722
929200,770818,268114
929100,771884,268501
929000,772979,268872
928900,774055,269246
928800,775175,269659
928700,776278,270023
928600,777386,270401
928500,778523,270800
928400,779609,271202
928300,780676,271584
928200,781726,271959
928100,782791,272353
928000,783853,272723
927900,784917,273095
927800,786004,273497
927700,787114,273876
927600,788153,274236
927500,789228,274618
927400,790298,274999
927300,791387,275387
927200,792436,275764
927100,793502,276155
927000,794601,276546
926900,795696,276931
926800,796830,277321
926700,797927,277687
926600,799048,278067
926500,800113,278441
926400,801180,278825
926300,802250,279207
926200,803303,279599
926100,804370,279997
926000,805444,280387
925900,806498,280746
925800,807624,281163
925700,808690,281543
925600,809817,281945
925500,810876,282304
925400,811951,282697
925300,813008,283079
925200,814116,283469
925100,815229,283859
925000,816352,284252
924900,817503,284642
924800,818610,285018
924700,819667,285391
924600,820734,285795
924500,821854,286186
924400,822962,286554
924300,824046,286936
924200,825118,287317
924100,826245,287702
924000,827299,288061
923900,828363,288461
923800,829422,288832
923700,830494,289221
923600,831588,289617
923500,832696,290008
923400,833825,290410
923300,834909,290786
923200,836001,291159
923100,837037,291520
923000,838091,291923
922900,839109,292285
922800,840209,292695
922700,841329,293090
922600,842354,293441
922500,843475,293864
922400,844559,294262
922300,845677,294652
922200,846749,295026
922100,847860,295438
922000,848999,295825
921900,850068,296220
921800,851141,296606
921700,852252,296991
921600,853320,297383
921500,854380,297781
921400,855496,298179
921300,856549,298546
921200,857569,298919
921100,858621,299323
921000,859675,299712
920900,860766,300092
920800,861864,300492
920700,862960,300877
920600,864027,301248
920500,865203,301662
920400,866267,302012
920300,867296,302381
920200,868312,302753
920100,869440,303158
920000,870498,303552
919900,871580,303934
919800,872668,304321
919700,873759,304716
919600,874837,305094
919500,875909,305481
919400,877001,305864
919300,878038,306253
919200,879144,306672
919100,880193,307042
919000,881293,307435
918900,882323,307811
918800,883397,308193
918700,884495,308590
918600,885586,308981
918500,886730,309369
918400,887818,309733
918300,888906,310106
918200,890027,310503
918100,891125,310874
918000,892201,311254
917900,893258,311629
917800,894272,312002
917700,895289,312391
917600,896348,312789
917500,897456,313170
917400,898530,313546
917300,899552,313898
917200,900633,314303
917100,901734,314702
917000,902778,315080
916900,903835,315467
916800,904886,315881
916700,905954,316269
916600,907085,316690
916500,908202,317067
916400,909265,317432
916300,910360,317853
916200,911406,318228
916100,912477,318625
916000,913553,319010
915900,914635,319390
915800,915653,319765
915700,916705,320138
915600,917771,320527
915500,918809,320915
915400,919918,321331
915300,921037,321714
915200,922100,322076
915100,923174,322479
915000,924283,322885
914900,925359,323263
914800,926472,323642
914700,927584,324026
914600,928648,324423
914500,929788,324822
914400,930819,325193
914300,931937,325589
914200,932994,325951
914100,934031,326346
914000,935046,326714
913900,936124,327115
913800,937197,327489
913700,938351,327901
913600,939429,328282
913500,940577,328675
913400,941669,329038
913300,942775,329428
913200,943870,329825
913100,944977,330222
913000,946079,330624
912900,947213,331031
912800,948302,331395
912700,949382,331789
912600,950446,332173
912500,951552,332558
