Nb,Input,Output
43200,5645,3759
43300,5730,3825
43400,5820,3888
43500,5899,3952
43600,5984,4007
43700,6070,4060
43800,6159,4123
43900,6235,4179
44000,6329,4242
44100,6428,4311
44200,6513,4369
44300,6592,4430
44400,6692,4503
44500,6783,4568
44600,6882,4638
44700,6956,4691
44800,7033,4750
44900,7104,4799
45000,7195,4861
45100,7306,4936
45200,7406,5011
45300,7496,5068
45400,7575,5115
45500,7663,5174
45600,7761,5237
45700,7858,5299
45800,7949,5362
45900,8019,5412
46000,8125,5488
46100,8215,5547
46200,8320,5621
46300,8416,5686
46400,8518,5755
46500,8621,5826
46600,8710,5885
46700,8820,5964
46800,8921,6031
46900,9028,6094
47000,9136,6171
47100,9262,6261
47200,9360,6321
47300,9474,6389
47400,9569,6448
47500,9686,6510
47600,9805,6586
47700,9920,6654
47800,10022,6718
47900,10131,6785
48000,10239,6854
48100,10361,6926
48200,10487,7006
48300,10579,7062
48400,10702,7141
48500,10826,7223
48600,10939,7293
48700,11042,7366
48800,11164,7433
48900,11287,7506
49000,11417,7585
49100,11551,7663
49200,11675,7737
49300,11792,7807
49400,11932,7891
49500,12062,7965
49600,12192,8042
49700,12317,8118
49800,12458,8199
49900,12575,8262
50000,12703,8334
50100,12835,8408
50200,12957,8482
50300,13097,8568
50400,13214,8642
50500,13331,8709
50600,13478,8791
50700,13618,8873
50800,13758,8949
50900,13858,9010
51000,13997,9098
51100,14146,9184
51200,14281,9260
51300,14402,9327
51400,14554,9404
51500,14688,9470
51600,14819,9546
51700,14948,9622
51800,15089,9697
51900,15229,9778
52000,15378,9864
52100,15523,9935
52200,15666,10013
52300,15819,10096
52400,15962,10172
52500,16097,10248
52600,16243,10316
52700,16385,10399
52800,16534,10477
52900,16680,10556
53000,16835,10647
53100,16985,10734
53200,17139,10809
53300,17281,10883
53400,17409,10952
53500,17545,11018
53600,17680,11078
53700,17838,11166
53800,17988,11243
53900,18116,11309
54000,18283,11399
54100,18448,11490
54200,18597,11573
54300,18752,11654
54400,18915,11742
54500,19065,11821
54600,19239,11909
54700,19399,11986
54800,19543,12063
54900,19697,12150
55000,19860,12236
55100,20018,12318
55200,20170,12392
55300,20296,12455
55400,20459,12541
55500,20598,12618
55600,20764,12705
55700,20920,12784
55800,21083,12872
55900,21241,12948
56000,21412,13032
56100,21585,13115
56200,21744,13199
56300,21909,13282
56400,22076,13362
56500,22245,13440
56600,22410,13518
56700,22582,13601
56800,22755,13682
56900,22929,13775
57000,23104,13857
57100,23281,13946
57200,23460,14036
57300,23652,14126
57400,23811,14199
57500,23951,14262
57600,24105,14333
57700,24276,14407
57800,24431,14488
57900,24594,14567
58000,24785,14664
58100,24961,14745
58200,25134,14829
58300,25297,14895
58400,25459,14989
58500,25637,15087
58600,25824,15174
58700,26009,15252
58800,26166,15323
58900,26322,15396
59000,26473,15469
59100,26645,15551
59200,26836,15646
59300,26980,15727
59400,27165,15832
59500,27351,15915
59600,27539,16003
59700,27730,16090
59800,27899,16158
59900,28063,16236
60000,28217,16310
60100,28397,16385
60200,28608,16475
60300,28775,16563
60400,28948,16641
60500,29110,16716
60600,29269,16784
60700,29431,16859
60800,29582,16932
60900,29737,17004
61000,29894,17088
61100,30061,17169
61200,30253,17272
61300,30444,17360
61400,30628,17454
61500,30842,17555
61600,31037,17648
61700,31221,17733
61800,31432,17834
61900,31620,17917
62000,31792,17988
62100,31992,18076
62200,32189,18160
62300,32356,18237
62400,32572,18330
62500,32748,18410
62600,32958,18509
62700,33161,18579
62800,33369,18681
62900,33596,18781
63000,33795,18852
63100,33999,18932
63200,34220,19023
63300,34433,19116
63400,34629,19190
63500,34824,19266
63600,35015,19355
63700,35213,19436
63800,35410,19515
63900,35631,19600
64000,35843,19698
64100,36048,19778
64200,36247,19857
64300,36465,19947
64400,36685,20033
64500,36877,20118
64600,37088,20212
64700,37298,20291
64800,37507,20384
64900,37727,20473
65000,37941,20554
65100,38125,20628
65200,38333,20724
65300,38551,20816
65400,38750,20903
65500,38958,20987
65600,39154,21073
65700,39350,21150
65800,39548,21236
65900,39748,21321
66000,39957,21406
66100,40155,21502
66200,40385,21600
66300,40607,21698
66400,40816,21787
66500,40998,21872
66600,41229,21954
